"RQSVV.01";"When the System-A receives a rejection message from System-B, Then it must transform it to the corresponding XML  message type and sent it to the System-C.";"(S (SBAR (WHADVP (WRB When)) (S (NP (DT the) (NN System_A)) (VP (VBZ receives) (NP (DT a) (NN rejection) (NN message)) (PP (IN from) (NP (NNP System_B)))))) (, ,) (ADVP (RB Then)) (NP (PRP it)) (VP (MD must) (VP (VB transform) (NP (PRP it)) (PP (IN to) (NP (DT the) (VBG corresponding) (NN XML) (NN message) (NN type))))) (CC and) (VP (VBD sent) (NP (PRP it)) (PP (IN to) (NP (DT the) (NNP System_C.)))))";"When the System_A receives a rejection message from System_B , Then it must transform it to the corresponding XML message type and sent it to the System_C."
"RQSVV.02";"When the Settlement Request does not contain all of the mandatory fields, then System-A must immediately return a rejection message to System-B and stop processing this Settlement Request.";"(S (SBAR (WHADVP (WRB When)) (S (NP (DT the) (NNP Settlement) (NN Request)) (VP (VBZ does) (RB not) (VP (VB contain) (NP (NP (DT all)) (PP (IN of) (NP (DT the) (JJ mandatory) (NNS fields)))))))) (, ,) (ADVP (RB then)) (NP (NNS System_A)) (VP (MD must) (VP (VP (ADVP (RB immediately)) (VB return) (NP (DT a) (NN rejection) (NN message)) (PP (IN to) (NP (NNP System_B)))) (CC and) (VP (VB stop) (S (VP (VBG processing) (NP (DT this) (NNP Settlement) (NNP Request))))))) (. .))";"When the Settlement Request does not contain all of the mandatory fields , then System_A must immediately return a rejection message to System_B and stop processing this Settlement Request ."
"RQSVV.03";"When the field Transaction Type in the  Request is equal to Corporate then System-A must populate the 3TG fields:  Field-A; and Field-B with the value-D then System-A must populate the 6TG fields: Field-D, and Field-E with the value-A";"(S (WHADVP (WRB When)) (NP (NP (DT the) (NN field) (NN Transaction) (NNP Type)) (PP (IN in) (NP (DT the) (NN Request)))) (VBZ is) (ADJP (ADJP (JJ equal)) (IN to) (JJ Corporate)) (ADVP (RB then)) (NNP System_A) (VP (MD must) (VB populate) (NP (DT the) (CD 3TG) (NNS fields) (NNP Field_A) (CC and) (NX (VBZ Field_B))) (PP (IN with) (NP (DT the) (NNP value_D))) (ADVP (RB then)) (NP (NNP System_A)) (MD must) (VB populate) (NP (NP (DT the) (CD 6TG) (NNS fields)) (NP (NN Field_D))) (, ,) (CC and) (NP (CD Field_E)) (PP (IN with) (NP (DT the) (NN value_A)))))";"When the field Transaction Type in the Request is equal to Corporate then System_A must populate the 3TG fields Field_A and Field_B with the value_D then System_A must populate the 6TG fields Field_D , and Field_E with the value_A"
"RQSVV.04";"When System-A identifies that a position update will be required for a  Prime client, a Message = value “AMR” in the field Type.";"(S (SBAR (WHADVP (WRB When)) (S (NP (JJ System_A)) (VP (NNS identifies) (SBAR (IN that) (S (NP (DT a) (NN position) (NN update)) (VP (MD will) (VP (VB be) (VP (VBN required) (PP (IN for) (NP (DT a) (NNP Prime) (NN client))))))))))) (, ,) (DT a) (NN Message) (NNS =) (NP (NN value) (NNP AMR)) (PP (IN in) (NP (DT the) (NN field) (NNP Type))) (. .))";"When System_A identifies that a position update will be required for a Prime client , a Message = value AMR in the field Type ."
"RQSVV.05";"When System-A handles the order for System-B as the target system or if the field XT has the Option B, and if the Qualifier <> RI or the Data Source Scheme <> AM or the Account Type Code is missing, the System-A must generate a rejected order with the reason invalid format.";"(S (SBAR (WHADVP (WRB When)) (S (NP (JJ System_A)) (VP (VBZ handles) (NP (NP (DT the) (NN order)) (PP (IN for) (NP (NNP System_B)))) (PP (IN as) (NP (DT the) (NN target) (NN system))) (CC or) (SBAR (IN if) (S (NP (DT the) (NN field) (NNP XT)) (VP (VBZ has) (NP (DT the) (NN Option) (NNP B)))))))) (, ,) (CC and) (SBAR (IN if) (S (NP (DT the) (NNP Qualifier)) (XX <) (XX >) (NP (NNP RI)) (CC or) (DT the) (NNP Data) (NNP Source) (NNP Scheme) (SYM <) (XX >) (NP (NNP AM)) (CC or) (NP (DT the) (NNP Account) (NNP Type) (NNP Code)) (VP (VBZ is) (VP (VBG missing))))) (, ,) (NP (DT the) (NNP System_A)) (VP (MD must) (VP (VB generate) (NP (NP (DT a) (VBN rejected) (NN order)) (PP (IN with) (NP (NP (DT the) (NN reason)) (NP (JJ invalid) (NN format))))))) (. .))";"When System_A handles the order for System_B as the target system or if the field XT has the Option B , and if the Qualifier < > RI or the Data Source Scheme < > AM or the Account Type Code is missing , the System_A must generate a rejected order with the reason invalid format ."
"RQSVV.06";"When System-A validates the order and  if the order is identified as “template”, or if the field XT has the Option F, and if the Qualifier <> EF or the Data Source Scheme <> OP or the Account Type Code is missing or 4 characters, then System-A must push the order in the error queue.";"(S (WHADVP (WRB When)) (S (NP (JJ System_A)) (VP (VBZ validates) (NP (DT the) (NN order)))) (CC and) (SBAR (SBAR (IN if) (S (NP (DT the) (NN order)) (VP (VBZ is) (VP (VBN identified) (PP (IN as) (NP (NN template))))))) (, ,) (CC or) (SBAR (IN if) (S (NP (DT the) (NN field) (NNP XT)) (VP (VBZ has) (NP (DT the) (NN Option) (NN F)))))) (, ,) (CC and) (SBAR (IN if) (S (NP (NP (DT the) (NNP Qualifier)) (XX <) (XX >) (NP (NNP EF)) (CC or) (NP (DT the) (NNP Data) (NNP Source) (NNP Scheme)) (XX <) (XX >) (NP (NNP OP)) (CC or) (NP (DT the) (NNP Account) (NNP Type) (NNP Code))) (VP (VBZ is) (VP (VBG missing) (CC or) (NP (CD 4) (NNS characters)))))) (, ,) (ADVP (RB then)) (NP (NNS System_A)) (VP (MD must) (VP (VB push) (NP (DT the) (NN order)) (PP (IN in) (NP (DT the) (NN error) (NN queue))))) (. .))";"When System_A validates the order and if the order is identified as template , or if the field XT has the Option F , and if the Qualifier < > EF or the Data Source Scheme < > OP or the Account Type Code is missing or 4 characters , then System_A must push the order in the error queue ."
"RQSVV.07";"When the System-A creates a new order or changes the status of the order or forwards the status of the order to System-B, then System-A must generate the Order publication.";"(S (SBAR (WHADVP (WRB When)) (S (NP (DT the) (NNP System_A)) (VP (VP (VBZ creates) (NP (DT a) (JJ new) (NN order))) (CC or) (VP (VBZ changes) (NP (NP (DT the) (NN status)) (PP (IN of) (NP (DT the) (NN order)))) (CC or) (ADVP (RB forwards)) (NP (NP (DT the) (NN status)) (PP (IN of) (NP (DT the) (NN order)))) (PP (IN to) (NP (NNP System_B))))))) (, ,) (ADVP (RB then)) (NP (NNS System_A)) (VP (MD must) (VP (VB generate) (NP (DT the) (NN Order) (NN publication)))) (. .))";"When the System_A creates a new order or changes the status of the order or forwards the status of the order to System_B , then System_A must generate the Order publication ."
"RQSVV.08";"For any single Confirmation message, System-A must accept Confirmation messages where the Financial Instrument identification provided is the Common Code.";"(S (PP (IN For) (NP (DT any) (JJ single) (NNP Confirmation) (NN message))) (, ,) (NP (NNP System_A)) (VP (MD must) (VP (VB accept) (NP (NP (NNP Confirmation) (NNS messages)) (SBAR (WHADVP (WRB where)) (S (NP (NP (DT the) (NNP Financial) (NNP Instrument) (NN identification)) (VP (VBN provided))) (VP (VBZ is) (NP (DT the) (NNP Common) (NNP Code)))))))) (. .))";"For any single Confirmation message , System_A must accept Confirmation messages where the Financial Instrument identification provided is the Common Code ."
"RQSVV.09";"When System-A generates the Order publication and if the acknowledgement is received, and if the order is not a cancel, then System-A must populate the field Acknowledgment status with ACK if the System-B accepts the orders, else System-A must populate the field Acknowledgment status with the blank value.";"(S (SBAR (WHADVP (WRB When)) (S (NP (JJ System_A)) (VP (VP (VBZ generates) (NP (DT the) (NN Order) (NN publication))) (CC and) (SBAR (IN if) (S (NP (DT the) (NN acknowledgement)) (VP (VBZ is) (VP (VBN received)))))))) (, ,) (CC and) (SBAR (IN if) (S (NP (DT the) (NN order)) (VP (VBZ is) (RB not) (NP (DT a) (NN cancel))))) (, ,) (ADVP (RB then)) (S (NP (NNS System_A)) (VP (MD must) (VP (VB populate) (NP (DT the) (NN field) (NNP Acknowledgment) (NN status)) (PP (IN with) (NP (NNP ACK))) (SBAR (IN if) (S (NP (DT the) (NNP System_B)) (VP (VBZ accepts) (NP (DT the) (NNS orders)))))))) (, ,) (ADVP (RB else)) (NP (JJ System_A)) (VP (MD must) (VP (VB populate) (NP (DT the) (NN field) (NNP Acknowledgment) (NN status)) (PP (IN with) (NP (DT the) (JJ blank) (NN value))))) (. .))";"When System_A generates the Order publication and if the acknowledgement is received , and if the order is not a cancel , then System_A must populate the field Acknowledgment status with ACK if the System_B accepts the orders , else System_A must populate the field Acknowledgment status with the blank value ."
"RQSVV.010";"When System-A receives the Statement of Orders, then System-A must attach the statement of orders to the Client companies where Client company. Id= System-B publication. Id.";"(S (SBAR (WHADVP (WRB When)) (S (NP (NNP System_A)) (VP (VBZ receives) (NP (NP (DT the) (NNP Statement)) (PP (IN of) (NP (NNS Orders))))))) (, ,) (ADVP (RB then)) (NP (NNS System_A)) (VP (MD must) (VP (VB attach) (NP (NP (DT the) (NN statement)) (PP (IN of) (NP (NNS orders)))) (PP (IN to) (NP (NP (DT the) (NNP Client) (NNS companies)) (SBAR (WHADVP (WRB where)) (NP (NP (NNP Client) (NN company)) (. .) (NNP Id=) (CD System_B) (NN publication))))))) (. .) (NN Id.))";"When System_A receives the Statement of Orders , then System_A must attach the statement of orders to the Client companies where Client company . Id= System_B publication . Id."
